,remainder
0,-106.8332971624564
1,-75.83367654551152
2,-102.83405592856663
3,-12.834435311621741
4,-40.83481469467685
5,-52.83519407773197
6,-55.83557346078708
7,-111.8359528438422
8,-108.8363322268973
9,-125.83671160995242
10,-86.83709099300754
11,15.162529623937358
12,5.162150240882245
13,6.161770857827133
14,-50.83860852522798
15,-96.83898790828309
16,-81.8393672913382
17,-55.83974667439332
18,-71.84012605744843
19,-36.84050544050354
20,-23.840884823558653
21,-54.841264206613765
22,-27.84164358966888
23,24.157977027276008
24,23.157597644220896
25,16.15721826116578
26,17.15683887811067
27,30.156459495055557
28,43.156080112000446
29,34.155700728945334
30,36.15532134589022
31,36.30861403917883
32,6.308234656123718
33,26.307855273068604
34,-0.6925241099865076
35,-3.6929034930416202
36,1.306717123903267
37,5.3063377408481545
38,-15.694041642206958
39,-16.69442102526207
40,-41.694800408317185
41,-3.6951797913722952
42,11.304440825572591
43,-34.69593855748252
44,-41.69631794053763
45,19.303302676407256
46,20.30292329335214
47,27.30254391029703
48,17.302164527241917
49,0.30178514418680447
50,-10.698594238868308
51,-10.698973621923422
52,-16.699353004978533
53,-15.699732388033645
54,-2.7001117710887588
55,24.299508845856128
56,34.29912946280102
57,24.298750079745904
58,20.298370696690792
59,16.970022030593057
60,35.969642647537945
61,-6.030736735517166
62,-2.031116118572278
63,23.96850449837261
64,22.9681251153175
65,-21.032254267737613
66,-11.032633650792725
67,-28.033013033847837
68,-27.033392416902956
69,-4.033771799958068
70,-14.03415118301318
71,-9.034530566068291
72,-14.034909949123403
73,-14.035289332178515
74,24.964331284766374
75,28.963951901711262
76,-15.03642748134385
77,-26.03680686439897
78,-29.03718624745408
79,-47.03756563050919
80,-52.037945013564304
81,-45.038324396619416
82,-33.03870377967453
83,-0.0390831627296393
84,15.960537454215249
85,-17.039841928839863
86,-17.040221311894975
87,-13.040600694950093
88,-30.040980078005205
89,-28.041359461060317
90,-82.23132564273774
91,-72.23170502579286
92,-49.23208440884797
93,-38.232463791903086
94,-19.23284317495819
95,-25.23322255801331
96,-15.233601941068414
97,-13.233981324123533
98,-6.234360707178638
99,-14.234740090233757
100,-34.235119473288876
101,-48.23549885634398
102,-45.2358782393991
103,-40.236257622454204
104,-27.236637005509323
105,-22.237016388564427
106,-36.237395771619546
107,-29.23777515467465
108,-22.23815453772977
109,6.761466079215111
110,8.761086696160007
111,6.760707313104888
112,6.760327930049783
113,18.759948546994664
114,7.75956916393956
115,11.75918978088444
116,31.758810397829336
117,39.75843101477422
118,18.7580516317191
119,31.757672248663994
120,24.99359523158536
121,14.993215848530255
122,-24.007163534524864
123,-13.007542917579968
124,-26.007922300635087
125,-12.008301683690192
126,-6.008681066745311
127,-13.00906044980043
128,-2.0094398328555343
129,9.990180784089347
130,30.989801401034242
131,1.9894220179791233
132,14.989042634924019
133,-15.0113367481311
134,-22.011716131186205
135,-46.012095514241324
136,-56.01247489729644
137,-39.01285428035155
138,-21.013233663406666
139,-16.01361304646177
140,42.98600757048311
141,14.985628187428006
142,6.985248804372887
143,32.98486942131778
144,31.984490038262663
145,3.9841106552075445
146,4.98373127215244
147,9.983351889097321
148,30.982972506042216
149,64.9825931229871
150,52.98221373993199
151,17.78021281880055
152,12.779833435745445
153,-5.22054594730966
154,-28.220925330364793
155,-39.2213047134199
156,-19.221684096475002
157,-17.222063479530135
158,-25.22244286258524
159,-21.222822245640344
160,-36.22320162869545
161,-43.22358101175058
162,-43.22396039480569
163,-55.22433977786079
164,-33.224719160915924
165,-50.22509854397103
166,-44.225477927026134
167,-38.22585731008124
168,-24.22623669313637
169,-16.226616076191476
170,0.7730045407534192
171,15.772625157698315
172,5.7722457746431814
173,21.771866391588077
174,25.771487008532972
175,53.77110762547784
176,65.77072824242273
177,40.77034885936763
178,22.769969476312525
179,51.76959009325739
180,64.76921071020229
181,36.32783840776372
182,17.32745902470859
183,15.327079641653484
184,4.326700258598379
185,3.3263208755432743
186,21.32594149248814
187,-1.6744378905669635
188,-16.674817273622068
189,-14.675196656677173
190,-24.675576039732306
191,-24.67595542278741
192,-11.676334805842515
193,-1.6767141888976482
194,5.322906428047247
195,15.322527044992142
196,8.322147661937038
197,24.321768278881905
198,37.3213888958268
199,27.321009512771695
200,14.320630129716562
201,15.320250746661458
202,17.319871363606353
203,3.3194919805512484
204,-7.680887402503885
205,-8.68126678555899
206,-8.681646168614094
207,12.317974448330801
208,-16.68240493472433
209,-25.682784317779436
210,-10.683163700834541
211,-8.683543083889674
212,-11.72278193963075
213,-10.723161322685854
214,-0.7235407057409589
215,-23.723920088796092
216,-24.724299471851197
217,-24.7246788549063
218,-23.725058237961434
219,-17.72543762101654
220,-8.725817004071644
221,-10.726196387126748
222,-24.72657577018188
223,-15.726955153236986
224,-16.72733453629209
225,-13.727713919347195
226,4.271906697597672
227,-14.728472685457433
228,-9.728852068512538
229,-1.7292314515676708
230,-12.729610834622775
231,-14.72999021767788
232,-18.730369600732985
233,-15.730748983788118
234,-16.731128366843222
235,-15.731507749898327
236,-16.73188713295346
237,12.267733483991435
238,52.26735410093633
239,13.266974717881226
240,-8.733404665173907
241,-24.733784048229012
242,-6.7341634312841165
243,39.840672666527695
244,23.840293283472562
245,45.83991390041746
246,37.83953451736235
247,25.83915513430722
248,18.838775751252115
249,1.8383963681970101
250,3.8380169851419055
251,39.83763760208677
252,43.83725821903167
253,43.83687883597656
254,6.83649945292143
255,33.836120069866325
256,56.83574068681122
257,22.835361303756116
258,8.834981920700983
259,13.834602537645878
260,16.834223154590774
261,32.83384377153567
262,46.833464388480536
263,21.83308500542543
264,-5.167294377629673
265,-20.167673760684806
266,-23.16805314373991
267,-11.168432526795016
268,13.83118809014988
269,-6.1691912929052535
270,-5.169570675960358
271,13.830049940984537
272,19.829670557929404
273,75.71414734596885
274,68.71376796291375
275,25.71338857985863
276,21.713009196803526
277,20.712629813748407
278,34.7122504306933
279,54.71187104763818
280,33.71149166458308
281,16.71111228152796
282,46.71073289847284
283,46.71035351541774
284,51.70997413236262
285,18.709594749307513
286,44.709215366252394
287,33.70883598319729
288,36.70845660014217
289,16.708077217087066
290,1.707697834031947
291,5.707318450976828
292,21.706939067921724
293,42.706559684866605
294,39.7061803018115
295,54.70580091875638
296,4.7054215357012765
297,23.705042152646158
298,22.704662769591053
299,-30.295716613464066
300,-49.296095996519185
301,-65.29647537957429
302,-79.29685476262941
303,-57.29723414568451
304,29.817933648439613
305,19.8175542653845
306,18.81717488232939
307,-0.18320450072572214
308,-35.183583883780834
309,-16.183963266835946
310,-14.184342649891057
311,-36.18472203294617
312,-54.18510141600128
313,12.8145192009436
314,-1.1858601821115116
315,6.813760434833377
316,-1.186618948221735
317,17.813001668723153
318,11.812622285668041
319,28.81224290261293
320,23.811863519557818
321,-5.188515863497294
322,47.81110475344759
323,41.810725370392475
324,20.810345987337364
325,2.809966604282252
326,-5.19041277877286
327,-32.19079216182797
328,-27.191171544883083
329,-21.191550927938195
330,-22.191930310993307
331,-22.192309694048426
332,-37.19268907710354
333,-17.19306846015865
334,20.715397658546642
335,8.715018275491529
336,49.71463889243642
337,88.71425950938131
338,80.71388012632619
339,77.71350074327108
340,31.713121360215965
341,38.71274197716085
342,41.71236259410574
343,57.71198321105063
344,28.711603827995518
345,7.711224444940404
346,53.710845061885294
347,30.71046567883018
348,17.710086295775064
349,7.709706912719954
350,-25.29067247033516
351,-31.29105185339027
352,-39.29143123644538
353,-31.291810619500495
354,-54.29219000255561
355,-22.292569385610722
356,-42.29294876866584
357,-42.29332815172095
358,-39.29370753477606
359,11.705913082168827
360,11.705533699113715
361,-4.294845683941396
362,17.704774933003492
363,6.704395549948378
364,43.70401616689327
365,21.028228022427516
366,9.027848639372404
367,27.027469256317293
368,20.02708987326218
369,2.0267104902070674
370,-5.973668892848045
371,5.025951724096842
372,-18.97442765895827
373,-24.97480704201338
374,-17.975186425068497
375,-11.975565808123608
376,-15.97594519117872
377,-59.976324574233836
378,-104.97670395728895
379,-71.97708334034405
380,-69.97746272339917
381,-72.97784210645429
382,-66.9782214895094
383,-67.97860087256451
384,-83.97898025561962
385,-117.97935963867474
386,-78.97973902172984
387,10.019881595215042
388,3.019502212159929
389,14.019122829104816
390,10.018743446049704
391,18.018364062994593
392,31.017984679939477
393,59.01760529688437
394,67.01722591382925
395,33.01684653077414
396,40.17013922406275
397,24.16975984100764
398,10.169380457952526
399,2.1690010748974133
400,14.1686216918423
401,16.16824230878719
402,20.167862925732077
403,3.1674835426769636
404,-20.83289584037815
405,-5.833275223433262
406,41.16634539351163
407,43.165966010456515
408,12.1655866274014
409,-8.834792755653712
410,-40.83517213870883
411,-71.83555152176393
412,-74.83593090481905
413,-62.83631028787416
414,-45.836689670929275
415,0.16293094601561275
416,18.162551562960502
417,33.16217217990539
418,30.161792796850275
419,40.16141341379516
420,27.16103403074005
421,23.160654647684936
422,21.160275264629824
423,17.159895881574712
424,10.1595164985196
425,-39.16883216757813
426,-61.16921155063324
427,-67.16959093368835
428,-58.169970316743466
429,-56.17034969979858
430,-69.17072908285368
431,-65.17110846590882
432,-57.17148784896392
433,-49.17186723201903
434,-44.172246615074144
435,-49.172625998129256
436,-46.17300538118437
437,-41.17338476423948
438,-31.17376414729459
439,-24.174143530349703
440,-6.174522913404822
441,6.825097703540067
442,13.824718320484955
443,11.824338937429843
444,11.823959554374731
445,27.82358017131962
446,30.823200788264508
447,7.822821405209396
448,7.822442022154284
449,23.822062639099165
450,43.821683256044054
451,10.821303872988942
452,-24.17907551006617
453,-20.17945489312128
454,-2.1798342761763934
455,19.819786340768495
456,-10.370179840908932
457,-10.370559223964051
458,15.629061392980844
459,29.628682009925726
460,42.62830262687062
461,41.6279232438155
462,30.627543860760383
463,-22.37283552229472
464,1.6267850946501596
465,26.626405711595055
466,23.626026328539936
467,-22.37435305451517
468,-38.37473243757029
469,-39.37511182062539
470,-39.37549120368051
471,-12.37587058673563
472,-4.376249969790734
473,-24.376629352845853
474,-17.377008735900958
475,-20.377388118956077
476,-1.3777675020111815
477,26.6218531149337
478,14.621473731878595
479,0.6210943488234761
480,-6.379285034231643
481,-27.379664417286747
482,-10.380043800341866
483,-5.380423183396971
484,-10.38080256645209
485,-8.381181949507194
486,-59.14525896658583
487,-52.14563834964093
488,-48.14601773269605
489,-45.14639711575117
490,-65.14677649880628
491,-82.1471558818614
492,-65.1475352649165
493,-32.14791464797162
494,3.8517059689732775
495,18.85132658591816
496,6.850947202863054
497,-13.149432180192065
498,-10.149811563247184
499,13.849809053697712
500,3.849429670642593
501,-7.150949712412512
502,-32.15132909546763
503,-37.151708478522735
504,-10.152087861577854
505,-30.15246724463296
506,-42.15284662768808
507,-48.1532260107432
508,-10.153605393798301
509,55.84601522314658
510,87.84563584009148
511,109.84525645703636
512,125.84487707398125
513,120.84449769092613
514,73.84411830787103
515,70.84373892481591
516,92.8433595417608
517,24.641358620629347
518,32.64097923757424
519,18.640599854519138
520,-0.3597795285359666
521,4.6398410884089
522,-5.360538294646204
523,4.639082322298691
524,-4.361297060756414
525,42.63832355618845
526,4.637944173133349
527,-9.362435209921756
528,-33.36281459297689
529,-53.363193976031994
530,-49.3635733590871
531,-51.3639527421422
532,-32.364332125197336
533,-11.36471150825244
534,-33.365090891307545
535,-35.36547027436268
536,-15.365849657417783
537,-20.366229040472888
538,-12.366608423527992
539,8.633012193416874
540,-24.36736718963823
541,-10.367746572693335
542,7.6318740442515605
543,39.63149466119643
544,52.63111527814132
545,46.63073589508622
546,-32.369643487968915
547,-31.81101579040748
548,-21.811395173462586
549,9.18822544348231
550,16.187846060427177
551,11.187466677372072
552,-10.812912705683033
553,-2.813292088738166
554,-12.81367147179327
555,-14.814050854848375
556,4.18556976209652
557,-34.81480962095861
558,-15.815189004013718
559,-3.815568387068822
560,-5.815947770123927
561,-27.81632715317906
562,-34.816706536234165
563,-27.81708591928927
564,-30.817465302344402
565,-37.81784468539951
566,-23.81822406845461
567,-26.818603451509716
568,-30.81898283456485
569,-21.819362217619954
570,-27.81974160067506
571,-12.820120983730192
572,0.17949963321470364
573,-24.8208797498404
574,1.1787408671044943
575,39.17836148404936
576,43.17798210099426
577,-7.822397282060848
578,-11.861636137801923
579,-7.862015520857057
580,-11.862394903912161
581,-24.862774286967266
582,-29.8631536700224
583,-7.863533053077504
584,-17.86391243613261
585,-14.864291819187713
586,4.135328797757154
587,-26.86505058529795
588,-27.865429968353055
589,-10.865809351408188
590,16.133811265536707
591,25.133431882481602
592,23.133052499426498
593,12.132673116371365
594,53.13229373331626
595,13.131914350261155
596,62.13153496720605
597,44.13115558415092
598,19.130776201095813
599,36.13039681804071
600,74.13001743498558
601,81.12963805193047
602,60.129258668875366
603,2.128879285820261
604,-12.871500097234872
605,13.128120519710023
606,-11.872258863345081
607,36.127361753599786
608,15.126982370544681
609,8.701818468356493
610,27.701439085301388
611,5.701059702246255
612,-6.29931968080885
613,-7.2996990638639545
614,-7.300078446919059
615,-8.300457829974192
616,-6.300837213029297
617,-10.301216596084402
618,-12.301595979139535
619,5.698024637805361
620,26.697645254750256
621,50.69726587169515
622,13.696886488640018
623,7.696507105584914
624,30.69612772252981
625,-4.304251660525324
626,-14.304631043580429
627,8.694989573364467
628,25.694610190309362
629,25.69423080725423
630,24.693851424199124
631,19.69347204114402
632,17.693092658088915
633,3.692713275033782
634,17.692333891978677
635,30.691954508923573
636,21.69157512586844
637,-21.308804257186665
638,-8.30918364024177
639,60.575293147797666
640,43.57491376474256
641,10.574534381687442
642,12.574154998632338
643,34.57377561557722
644,57.5733962325221
645,28.573016849466995
646,17.572637466411877
647,2.572258083356772
648,0.571878700301653
649,0.5714993172465483
650,-4.4288800658085705
651,8.570740551136325
652,16.570361168081206
653,-2.430018214973913
654,-11.430397598029018
655,-40.430776981084136
656,-46.43115636413924
657,-31.43153574719436
658,-36.431915130249465
659,-34.43229451330458
660,-61.43267389635969
661,-66.4330532794148
662,-39.433432662469926
663,-40.43381204552503
664,-59.43419142858015
665,-54.434570811635254
666,10.565049805309627
667,45.56467042225452
668,39.564291039199404
669,37.5639116561443
670,53.679079450268425
671,25.678700067213313
672,31.6783206841582
673,36.67794130110309
674,22.677561918047978
675,18.67718253499286
676,-0.3231968480622527
677,31.676423768882636
678,23.676044385827524
679,19.675665002772412
680,7.6752856197173
681,-14.325093763337811
682,-7.325473146392923
683,-24.325852529448035
684,-27.326231912503154
685,-11.326611295558266
686,-33.32699067861338
687,-49.32737006166849
688,-39.3277494447236
689,-46.32812882777871
690,-53.328508210833824
691,-77.32888759388894
692,-77.32926697694404
693,-41.32964635999917
694,-47.33002574305428
695,-95.33040512610938
696,-105.3307845091645
697,-14.331163892219614
698,5.668456724725274
699,-19.331922658329837
700,-2.4234565396245493
701,-33.423835922679665
702,-47.424215305734776
703,-1.4245946887898882
704,-14.424974071845
705,-47.42535345490011
706,-29.425732837955223
707,-19.426112221010335
708,-24.42649160406545
709,-67.42687098712057
710,-77.42725037017567
711,-2.4276297532307876
712,-4.428009136285901
713,-12.428388519341013
714,18.571232097603875
715,28.570852714548764
716,46.57047333149365
717,43.57009394843854
718,56.56971456538342
719,14.569335182328311
720,-1.4310442007268005
721,-13.431423583781914
722,-51.431802966837026
723,-79.43218234989214
724,-68.43256173294725
725,-55.43294111600236
726,-31.433320499057476
727,-15.433699882112588
728,-12.434079265167702
729,-20.434458648222815
730,-83.43483803127793
731,-70.11062617574368
732,-88.11100555879878
733,-115.1113849418539
734,-73.11176432490902
735,-40.11214370796412
736,-62.112523091019234
737,-118.11290247407435
738,-107.11328185712946
739,-70.11366124018457
740,-41.11404062323969
741,-80.1144200062948
742,-106.11479938934991
743,-56.115178772405024
744,-66.11555815546014
745,-128.11593753851525
746,-71.11631692157036
747,-106.11669630462548
748,-171.1170756876806
749,-155.1174550707357
750,-37.11783445379081
751,-35.118213836845925
752,-72.11859321990104
753,-52.11897260295615
754,-3.1193519860112624
755,22.880268630933625
756,5.879889247878513
757,7.8795098648234
758,8.879130481768287
759,-5.121248901286825
760,26.878371715658062
761,43.87799233260295
762,36.03128502589156
763,18.030905642836448
764,-24.969473740218664
765,-46.96985312327378
766,-53.97023250632889
767,-31.970611889384003
768,-10.970991272439115
769,16.028629344505774
770,13.02824996145066
771,26.027870578395547
772,32.02749119534043
773,-22.972888187714677
774,-6.97326757076979
775,34.026353046175096
776,39.025973663119984
777,54.02559428006487
778,41.02521489700976
779,32.02483551395465
780,65.02445613089954
781,51.02407674784442
782,47.02369736478931
783,-15.976682018265803
784,-46.97706140132092
785,-42.97744078437603
786,0.022179832568858693
787,16.021800449513748
788,53.021421066458636
789,31.02104168340352
790,-4.307306982694207
791,24.69231363425068
792,-14.308065748804431
793,-7.30844513185955
794,17.69117548508534
795,3.6907961020302267
796,12.690416718975115
797,15.690037335920003
798,13.689657952864891
799,8.68927856980978
800,5.688899186754668
801,28.688519803699556
802,39.68814042064444
803,31.687761037589325
804,49.687381654534214
805,24.687002271479102
806,-20.31337711157601
807,-25.31375649463112
808,-19.314135877686233
809,9.685484739258655
810,17.685105356203543
811,19.684725973148424
812,23.684346590093313
813,33.6839672070382
814,7.683587823983089
815,-2.3167915590720227
816,13.682829057872866
817,18.682449674817754
818,20.682070291762642
819,23.68169090870753
820,60.68131152565241
821,30.491345343974984
